"","Practice.Code","Volume","Cost","ID","Cluster"
"167","A81009",1626159,133047.99334,167,1
"168","A81011",1727370,176190.84297,168,1
"169","A81012",1013812,81952.98787,169,1
"170","A81013",925057,81812.35488,170,1
"171","A81014",714908,73070.99577,171,1
"172","A81015",505582,48451.31669,172,1
"173","A81016",1536477,136725.85638,173,1
"174","A81017",2778808,265371.71879,174,1
"175","A81018",771804,72585.51613,175,1
"176","A81019",1905904,176084.52477,176,1
"177","A81020",1559746,129540.23779,177,1
"178","A81021",2324710,225012.56584,178,1
"179","A81022",1698699,180836.32503,179,1
"180","A81023",1095954,101337.56246,180,1
"181","A81025",607963,66251.88946,181,1
"182","A81026",2555854,243675.04224,182,1
"183","A81027",1365467,143883.61815,183,1
"184","A81029",866374,78108.93332,184,1
"185","A81030",2016910,185657.80504,185,1
"186","A81031",1913156,181328.6552,186,1
"187","A81032",1650909,164137.9047,187,1
"188","A81033",704394,68243.75043,188,1
"189","A81034",3133235,291029.78879,189,1
"190","A81035",1847857,168577.78669,190,1
"191","A81036",2693533,254327.33106,191,1
"192","A81037",1335319,116544.3183,192,1
"193","A81038",619933,52306.03051,193,1
"194","A81039",1301025,110388.82625,194,1
"195","A81040",1302612,127578.75027,195,1
"196","A81041",1215440,120205.95129,196,1
"197","A81042",975878,94169.43074,197,1
"198","A81043",1412558,160514.89312,198,1
"199","A81044",1962920,195491.11542,199,1
"200","A81045",1839275,157035.31895,200,1
"201","A81046",1908484,192722.18409,201,1
"202","A81047",1041711,102481.61521,202,1
"203","A81048",920683,78433.70322,203,1
"204","A81049",922426,87325.03108,204,1
"205","A81051",1400511,107865.84352,205,1
"206","A81052",1384479,129543.29116,206,1
"207","A81053",1289413,114165.63484,207,1
"208","A81054",1269008,126157.84445,208,1
"209","A81056",276821,30123.37607,209,1
"210","A81057",1476541,126494.954,210,1
"211","A81058",1362596,113531.56376,211,1
"212","A81060",903505,69589.73765,212,1
"213","A81063",797910,70647.99772,213,1
"214","A81064",868496,81126.28074,214,1
"215","A81065",683144,58761.33285,215,1
"216","A81066",607548,62519.31334,216,1
"217","A81067",1473665,136957.96784,217,1
"218","A81069",291940,28737.67483,218,1
"219","A81070",284792,24819.33313,219,1
"220","A81602",423476,39451.64537,220,1
"221","A81605",530734,33076.77121,221,1
"222","A81608",286254,24987.9514,222,1
"223","A81609",146845,22063.71726,223,1
"224","A81610",1273771,136946.47192,224,1
"225","A81611",643791,57706.09123,225,1
"226","A81612",319285,34392.95316,226,1
"227","A81613",457809,50074.73309,227,1
"228","A81618",1508236,125928.02901,228,1
"229","A81621",350149,31519.46438,229,1
"230","A81622",714373,69178.7358,230,1
"231","A81623",306868,24856.92869,231,1
"232","A81629",642062,55945.17048,232,1
"233","A81630",1437118,38689.33782,233,1
"234","A81631",913486,86386.4717,234,1
"235","A81632",810454,29591.83515,235,1
"236","A81633",64494,3468.59952,236,1
"237","A81634",75789,4799.36696,237,1
"238","A82003",1595951,168265.343,238,1
"239","A82004",285104,34806.90947,239,1
"240","A82005",487212,59690.16731,240,1
"241","A82006",623812,68457.11263,241,1
"242","A82007",1519719,136225.09885,242,1
"243","A82008",1742441,180505.52642,243,1
"244","A82009",1594437,141649.7963,244,1
"245","A82010",1095165,109054.21311,245,1
"246","A82011",381118,35780.29285,246,1
"247","A82012",1584908,174614.81886,247,1
"248","A82013",755350,93638.22671,248,1
"249","A82014",493445,58291.79136,249,1
"250","A82015",973889,90013.72131,250,1
"251","A82016",2442113,250711.31328,251,1
"252","A82017",2461889,228588.21117,252,1
"253","A82018",1845868,181162.52502,253,1
"254","A82019",1094350,111743.75516,254,1
"255","A82020",2367387,246487.12939,255,1
"256","A82021",1386470,133783.71813,256,1
"257","A82022",589706,66162.7509,257,1
"258","A82023",437080,49883.38548,258,1
"259","A82024",711594,84293.87883,259,1
